ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
2.397861844592625701e-03,-2.627674231966269959e-03,2.235494245295085847e+01
2.387664838405907479e-03,-2.637100714662507853e-03,2.223760380941018155e+01
2.377485281811069634e-03,-2.646438646546081953e-03,2.212087910957770731e+01
2.367323613891129507e-03,-2.655688767379926329e-03,2.200476532139833097e+01
2.357180263944352438e-03,-2.664851812994957145e-03,2.188925941056675839e+01
2.347055651635705700e-03,-2.673928515249861335e-03,2.177435834226970357e+01
2.336950187146020867e-03,-2.682919601993520326e-03,2.166005908275406355e+01
2.326864271318925762e-03,-2.691825797029933059e-03,2.154635860073778986e+01
2.316798295805631847e-03,-2.700647820085531198e-03,2.143325386867841331e+01
2.306752643207602652e-03,-2.709386386778752515e-03,2.132074186391287540e+01
2.296727687217170466e-03,-2.718042208591765329e-03,2.120881956968089099e+01
2.286723792756154613e-03,-2.726615992844259873e-03,2.109748397604305836e+01
2.276741316112506058e-03,-2.735108442669187314e-03,2.098673208070375296e+01
2.266780605075042511e-03,-2.743520256990377489e-03,2.087656088974787139e+01
2.256841999066302659e-03,-2.751852130501950770e-03,2.076696741829975323e+01
2.246925829273556819e-03,-2.760104753649443403e-03,2.065794869111166676e+01
2.237032418778013912e-03,-2.768278812612570867e-03,2.054950174308864419e+01
2.227162082682254251e-03,-2.776374989289575896e-03,2.044162361975572395e+01
2.217315128235918930e-03,-2.784393961283076601e-03,2.033431137767323804e+01
2.207491854959688776e-03,-2.792336401887376973e-03,2.022756208480494422e+01
2.197692554767586258e-03,-2.800202980077168627e-03,2.012137282084373169e+01
2.187917512087607722e-03,-2.807994360497571319e-03,2.001574067749886154e+01
2.178167003980736698e-03,-2.815711203455467573e-03,1.991066275874844749e+01
2.168441300258346516e-03,-2.823354164912080660e-03,1.980613618106061580e+01
2.158740663598024759e-03,-2.830923896476748684e-03,1.970215807358624716e+01
2.149065349657829950e-03,-2.838421045401849641e-03,1.959872557832611051e+01
2.139415607189019530e-03,-2.845846254578844083e-03,1.949583585027489718e+01
2.129791678147256468e-03,-2.853200162535384637e-03,1.939348605754434018e+01
2.120193797802323588e-03,-2.860483403433465056e-03,1.929167338146740462e+01
2.110622194846355996e-03,-2.867696607068560225e-03,1.919039501668553882e+01
2.101077091500620254e-03,-2.874840398869740223e-03,1.908964817122049240e+01
2.091558703620852860e-03,-2.881915399900705950e-03,1.898943006653226817e+01
2.082067240801182325e-03,-2.888922226861725517e-03,1.888973793756456843e+01
2.072602906476643959e-03,-2.895861492092439721e-03,1.879056903277894719e+01
2.063165898024306444e-03,-2.902733803575502369e-03,1.869192061417881590e+01
2.053756406863040986e-03,-2.909539764941035042e-03,1.859378995732421203e+01
2.044374618551922200e-03,-2.916279975471856422e-03,1.849617435133839294e+01
2.035020712887304108e-03,-2.922955030109470990e-03,1.839907109890693704e+01
2.025694863998576435e-03,-2.929565519460791082e-03,1.830247751627016584e+01
2.016397240442602528e-03,-2.936112029805548924e-03,1.820639093320955126e+01
2.007128005296888746e-03,-2.942595143104409939e-03,1.811080869302870155e+01
1.997887316251455853e-03,-2.949015437007725289e-03,1.801572815252951187e+01
1.988675325699471811e-03,-2.955373484864929744e-03,1.792114668198390603e+01
1.979492180826624304e-03,-2.961669855734547566e-03,1.782706166510172707e+01
1.970338023699272877e-03,-2.967905114394791665e-03,1.773347049899506800e+01
1.961212991351374627e-03,-2.974079821354730455e-03,1.764037059413949038e+01
1.952117215870218360e-03,-2.980194532866016748e-03,1.754775937433245048e+01
1.943050824480961570e-03,-2.986249800935131000e-03,1.745563427664920297e+01
1.934013939629996258e-03,-2.992246173336150609e-03,1.736399275139648424e+01
1.925006679067154227e-03,-2.998184193624011014e-03,1.727283226206419542e+01
1.916029155926763771e-03,-3.004064401148242528e-03,1.718215028527536248e+01
1.907081478807567303e-03,-3.009887331067157782e-03,1.709194431073450815e+01
1.898163751851530273e-03,-3.015653514362503628e-03,1.700221184117462769e+01
1.889276074821522955e-03,-3.021363477854514205e-03,1.691295039230298514e+01
1.880418543177926919e-03,-3.027017744217389440e-03,1.682415749274585082e+01
1.871591248154143424e-03,-3.032616831995165168e-03,1.673583068399226192e+01
1.862794276831037776e-03,-3.038161255617956649e-03,1.664796752033700145e+01
1.854027712210330921e-03,-3.043651525418576784e-03,1.656056556882289499e+01
1.845291633286935684e-03,-3.049088147649499109e-03,1.647362240918245391e+01
1.836586115120269298e-03,-3.054471624500152121e-03,1.638713563377907789e+01
1.827911228904541795e-03,-3.059802454114548403e-03,1.630110284754774952e+01
1.819267042038036309e-03,-3.065081130609211262e-03,1.621552166793541971e+01
1.810653618191394735e-03,-3.070308144091406666e-03,1.613038972484108768e+01
1.802071017374916751e-03,-3.075483980677655351e-03,1.604570466055563926e+01
1.793519296004886764e-03,-3.080609122512515102e-03,1.596146412970154138e+01
1.784998506968940883e-03,-3.085684047787627150e-03,1.587766579917231624e+01
1.776508699690488051e-03,-3.090709230761006301e-03,1.579430734807204040e+01
1.768049920192184222e-03,-3.095685141776573918e-03,1.571138646765470881e+01
1.759622211158490832e-03,-3.100612247283906879e-03,1.562890086126361666e+01
1.751225611997310819e-03,-3.105491009858213792e-03,1.554684824427076961e+01
1.742860158900722814e-03,-3.110321888220505052e-03,1.546522634401632068e+01
1.734525884904826497e-03,-3.115105337257961966e-03,1.538403289974807286e+01
1.726222819948700863e-03,-3.119841808044494097e-03,1.530326566256109899e+01
1.717950990932494469e-03,-3.124531747861463565e-03,1.522292239533747882e+01
1.709710421774655702e-03,-3.129175600218576329e-03,1.514300087268613204e+01
1.701501133468314320e-03,-3.133773804874936085e-03,1.506349888088284317e+01
1.693323144136821886e-03,-3.138326797860239558e-03,1.498441421781043204e+01
1.685176469088468625e-03,-3.142835011496108825e-03,1.490574469289911441e+01
1.677061120870379334e-03,-3.147298874417557655e-03,1.482748812706703667e+01
1.668977109321600040e-03,-3.151718811594577101e-03,1.474964235266103607e+01
1.660924441625396012e-03,-3.156095244353839934e-03,1.467220521339757688e+01
1.652903122360753528e-03,-3.160428590400498304e-03,1.459517456430395654e+01
