accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.005655244283132577e+00,8.440113942052253071e-01,-9.790452339233615575e+00
1.010115674305329447e+00,8.316678123766649833e-01,-9.793867176954279330e+00
1.004513128115235077e+00,8.298968963367983065e-01,-9.805859612412248794e+00
9.962449744762352788e-01,8.147290560590406683e-01,-9.784047846990254982e+00
9.992557626404435789e-01,8.384053450254299600e-01,-9.776773832858264512e+00
1.005165849171308246e+00,8.386429986695882466e-01,-9.794577179764047514e+00
1.004808405551247841e+00,8.284172275653357564e-01,-9.779761064290644512e+00
9.964986949817780104e-01,8.347674623182375075e-01,-9.792188831939244054e+00
9.897230847095430661e-01,8.371152420189289511e-01,-9.784951337733312826e+00
1.000869229691455642e+00,8.462931156227319063e-01,-9.795921513120294577e+00
1.001797443076560157e+00,8.305215321320801314e-01,-9.788574115225507910e+00
1.016783341274778873e+00,8.321837558035261040e-01,-9.778219915585921740e+00
9.904066562452710221e-01,8.326477269666394676e-01,-9.785431309877129280e+00
9.990138140722685245e-01,8.434328431284544569e-01,-9.787108874378226631e+00
1.005609607692447671e+00,8.247915429055054926e-01,-9.784280795600945879e+00
1.014848555314991740e+00,8.381312484773236759e-01,-9.803420142707029328e+00
1.004824956861697371e+00,8.453693213436438425e-01,-9.805354060069696231e+00
9.843824756546039056e-01,8.353300361827974418e-01,-9.799197715415218113e+00
9.961549692015098101e-01,8.391340989983727683e-01,-9.798232164109446529e+00
9.839880317781735108e-01,8.332368863130746872e-01,-9.804922390784014397e+00
1.000987469503835881e+00,8.439352714325318860e-01,-9.805999724761219838e+00
1.007281196001802437e+00,8.203232137204166108e-01,-9.793239934545782788e+00
1.003353271377961820e+00,8.186312533792633461e-01,-9.789225877537214515e+00
1.001915168014688495e+00,8.347544178095041012e-01,-9.804741943299140061e+00
9.878490462797362426e-01,8.202653313928378598e-01,-9.788429259962367013e+00
9.767746759710707050e-01,8.352006180454070172e-01,-9.781645683365566057e+00
1.003439956423103352e+00,8.336074274213526314e-01,-9.782477389369450549e+00
