mag_x (uT),mag_y (uT),mag_z (uT)
2.642051904196566170e+01,-1.922258826359562178e+01,3.783603107210776528e+01
2.625261134120495754e+01,-1.945691809138230255e+01,3.785716444243412582e+01
2.601472352056930859e+01,-1.959715038368777940e+01,3.756978589698972826e+01
2.613401508690066777e+01,-1.985912575678817404e+01,3.757388496666201405e+01
2.595109910440825374e+01,-1.980519538234976551e+01,3.767102927195897877e+01
2.579604598516745995e+01,-1.991749819017001499e+01,3.754682371587241363e+01
2.589949479302207536e+01,-2.008747519109407875e+01,3.764408286675129034e+01
2.560463726660393746e+01,-2.019817580638555299e+01,3.743106857884454541e+01
2.557837413360579859e+01,-2.041232176707511314e+01,3.783117638097958491e+01
2.543595633196014560e+01,-2.054267517045025215e+01,3.762909370078278215e+01
2.537325846866562529e+01,-2.066257059668873097e+01,3.775070231391828202e+01
2.541209955326987924e+01,-2.084223346666929189e+01,3.777960359846500182e+01
2.523108840678366604e+01,-2.083012061451687558e+01,3.761417656057987102e+01
2.501230662036687491e+01,-2.101339497618196361e+01,3.755341458743686900e+01
2.484413168992589860e+01,-2.106897389679527066e+01,3.757818329321557371e+01
2.488759568778000641e+01,-2.137649685650148257e+01,3.761756350754671985e+01
2.467885971920161481e+01,-2.130049484579032892e+01,3.760278207132538597e+01
2.467021893827232404e+01,-2.166524495951585294e+01,3.763279222503369681e+01
2.447920131815969214e+01,-2.151216086142632378e+01,3.777354436821376993e+01
2.435734032036414121e+01,-2.181168366455860763e+01,3.773366559326690606e+01
2.410206272392406746e+01,-2.184573958696622142e+01,3.773507915593982176e+01
2.413340075454170730e+01,-2.216102041550664126e+01,3.753118266137276748e+01
2.417690502354412629e+01,-2.222125700561123551e+01,3.759374623889880240e+01
2.395361299045057279e+01,-2.249238656054774310e+01,3.777138865913677535e+01
2.384666266497636400e+01,-2.236995971769763614e+01,3.778423942746728414e+01
2.374069574329587695e+01,-2.253781608251330582e+01,3.771485461865940181e+01
2.364665638261329050e+01,-2.261224596615425853e+01,3.755174625428883672e+01
2.352749723643188418e+01,-2.290913920187335506e+01,3.773529299487234567e+01
2.351911686768840326e+01,-2.272147894299218507e+01,3.755393990171578622e+01
2.328189863884542987e+01,-2.292094421102142832e+01,3.776206855739027901e+01
2.322342108689568718e+01,-2.301211032783820443e+01,3.762582685863169019e+01
2.316007794443212831e+01,-2.318432620976221870e+01,3.770357472791223330e+01
2.315492517604741707e+01,-2.337291575207786920e+01,3.771550427444417863e+01
2.295276269056633822e+01,-2.340550942177860350e+01,3.777955183338885803e+01
2.274365836370122196e+01,-2.343579681877282539e+01,3.770533091481350851e+01
2.259671974394527183e+01,-2.361843184112762373e+01,3.771979936913912468e+01
2.255818281825902005e+01,-2.358353902840026350e+01,3.764730503456928545e+01
2.256246673586853646e+01,-2.373894997450508626e+01,3.774813563920526605e+01
2.208775101574666877e+01,-2.381709917985545033e+01,3.771757661816536711e+01
2.231156885231704834e+01,-2.393038252690129042e+01,3.774305206823893855e+01
2.220296206576957943e+01,-2.396177934973410473e+01,3.777562555740445305e+01
2.197417575242428711e+01,-2.424782302993754257e+01,3.781552184832382579e+01
2.190273047477364443e+01,-2.452805623590665007e+01,3.766614866002343831e+01
2.181905798683730779e+01,-2.436334980791367144e+01,3.758008426711280237e+01
2.164319406035685134e+01,-2.450925811302372637e+01,3.764912613564396082e+01
2.157101975379280745e+01,-2.466615387380078772e+01,3.753547137959292002e+01
2.146236576290917597e+01,-2.465683040111688129e+01,3.778334756333617861e+01
2.138128268491756501e+01,-2.474183447777556921e+01,3.776721074217974206e+01
2.124227561578885215e+01,-2.487079546162492605e+01,3.758047985830506121e+01
2.107776336544835161e+01,-2.513344810863066314e+01,3.767041831192359069e+01
2.112717767875649599e+01,-2.505237395473649542e+01,3.755943692116096599e+01
2.099013365461698299e+01,-2.515044146707821326e+01,3.759466480392654120e+01
2.071150704504080053e+01,-2.520835298064114127e+01,3.764948170286331219e+01
2.067877190551127242e+01,-2.506765529362939660e+01,3.773339512600746559e+01
2.045966286982293525e+01,-2.536802811540570701e+01,3.772951127293159601e+01
2.071858121581106715e+01,-2.544928522444190477e+01,3.749392680533300393e+01
2.034006635420452369e+01,-2.561161520330138330e+01,3.760946121796474273e+01
2.026270511547435049e+01,-2.549897909279239272e+01,3.753584717771811086e+01
2.029939642727958571e+01,-2.574194846971675688e+01,3.741091677335445809e+01
1.993561713327764906e+01,-2.576549831072348695e+01,3.787450226557341892e+01
2.009047245304136808e+01,-2.578351757288284318e+01,3.753704798986667868e+01
1.985960795200931628e+01,-2.589575602837212287e+01,3.779306832175501540e+01
1.963461509455240162e+01,-2.610423161886876287e+01,3.766864599209075948e+01
1.973563928879391938e+01,-2.603528106460043645e+01,3.765733017707362507e+01
1.969892774795764012e+01,-2.629070111277107813e+01,3.760984637208756709e+01
1.949987312647094129e+01,-2.623939142631909860e+01,3.755875036566062874e+01
1.929700824923916613e+01,-2.639437024491103756e+01,3.777464196860675116e+01
1.919911738412172397e+01,-2.639144095598184592e+01,3.779759759199672686e+01
1.930212152911230916e+01,-2.662090721673223115e+01,3.770931191378241465e+01
1.886826476347016168e+01,-2.668878038592303170e+01,3.757196240194532777e+01
1.895362796059663069e+01,-2.660654743013724399e+01,3.757141380255814767e+01
1.871625516613926266e+01,-2.682376435923717395e+01,3.772184593645766881e+01
1.858604329048111481e+01,-2.675586664020495320e+01,3.765261409933212633e+01
1.876761858828862373e+01,-2.685222640187425824e+01,3.779401687921122743e+01
1.848183410816332639e+01,-2.696445791996277919e+01,3.776444850067792203e+01
1.841889277257032020e+01,-2.707194784472517313e+01,3.772226561641286935e+01
1.839743023865721838e+01,-2.713722075456718841e+01,3.776265080432098387e+01
1.811147832656022416e+01,-2.721344270224117423e+01,3.766587486321885336e+01
1.817683295147172018e+01,-2.742967939286395662e+01,3.772739626783352662e+01
1.809933294779319013e+01,-2.726032964573613526e+01,3.788638602332616756e+01
1.795435397137570632e+01,-2.720695089141525358e+01,3.757824320345674352e+01
1.779396513985232176e+01,-2.725564253535796055e+01,3.755861671667718582e+01
1.763616088720104358e+01,-2.753511012916725775e+01,3.766279639815042657e+01
1.755838598774937154e+01,-2.756915173165603150e+01,3.750819149168030719e+01
1.745107070524895931e+01,-2.748656513214750063e+01,3.764161588385248081e+01
1.763918089149467860e+01,-2.781024698080736357e+01,3.775959901194284640e+01
1.730005330539067288e+01,-2.774207286737270550e+01,3.770039158348500763e+01
1.737232754841193838e+01,-2.785263481675342589e+01,3.770862234759388798e+01
1.730533501745736658e+01,-2.777429185881339890e+01,3.767331546694722277e+01
1.695288498625570028e+01,-2.807200548190501266e+01,3.754233293853945952e+01
1.707184612269297475e+01,-2.799938093477523182e+01,3.769459219351589496e+01
1.685424442996945871e+01,-2.808918861365213715e+01,3.771763118624140532e+01
1.684292946259164125e+01,-2.799618066606829814e+01,3.757134146150018239e+01
1.663692655547852794e+01,-2.815302359314690861e+01,3.785478619245661491e+01
1.650262926593472557e+01,-2.821367130900594233e+01,3.759959889840207836e+01
1.656702441119266922e+01,-2.819680137859853275e+01,3.773285257205413501e+01
1.637233551975124968e+01,-2.837531910543699354e+01,3.773036353093691275e+01
1.621766329958962771e+01,-2.848973768837569409e+01,3.753856762415424697e+01
1.605076467750680180e+01,-2.843518041321396339e+01,3.769375462989140857e+01
1.613597854542944177e+01,-2.857647186307968212e+01,3.754898994844494098e+01
1.599819346304153100e+01,-2.845058949552014482e+01,3.761261695468868993e+01
1.583042798602395429e+01,-2.857489758163429627e+01,3.759393145015548754e+01
1.590528851134909338e+01,-2.875552383055027050e+01,3.766182180572936744e+01
1.593774120033777031e+01,-2.865136031431504904e+01,3.754692710510170173e+01
1.566370185466075071e+01,-2.890268421699898838e+01,3.759687559412297730e+01
1.540508774423039995e+01,-2.870585172859214396e+01,3.754732289880691098e+01
1.537224055181370552e+01,-2.881928264074176127e+01,3.773840307925574677e+01
1.529204401010361458e+01,-2.897215468988491338e+01,3.758233067176843889e+01
1.545305548983639277e+01,-2.884902680743355674e+01,3.744010316944279992e+01
1.537168227255374120e+01,-2.908442815346624499e+01,3.753544435665167356e+01
1.512905203924250230e+01,-2.904359541039019632e+01,3.784366988249396968e+01
1.491021344617443134e+01,-2.898833617505992777e+01,3.771204573012965255e+01
1.482187082764133734e+01,-2.904988711187115769e+01,3.763689702660920489e+01
1.477908339001819371e+01,-2.925934503489643035e+01,3.775489217973657929e+01
1.475295670182345553e+01,-2.918678282688355807e+01,3.775806000943012464e+01
1.471717541231508974e+01,-2.930919994053104105e+01,3.780503487249814043e+01
1.443080903873075727e+01,-2.932494560461474720e+01,3.777158186363148928e+01
1.450149813682606847e+01,-2.942787474854054608e+01,3.767373755100070554e+01
1.445669287275562276e+01,-2.938473068139240851e+01,3.761351329035530711e+01
1.433422720150927887e+01,-2.947032715027067695e+01,3.757197600015181393e+01
1.414554135768498888e+01,-2.947637303035429568e+01,3.763696376369101415e+01
1.408497190510466091e+01,-2.948442810128904412e+01,3.763635125371119727e+01
1.403892115959347997e+01,-2.955744640525096756e+01,3.782921729225231644e+01
1.408281497787482550e+01,-2.969994170089704966e+01,3.780842733251021315e+01
1.385895413203756554e+01,-2.957119818783352372e+01,3.759548136214283431e+01
1.364555950871966061e+01,-2.963034744165045353e+01,3.762449722306964617e+01
1.379714658466801502e+01,-2.963237198114034854e+01,3.764159436728394326e+01
1.363825829265430833e+01,-2.968886833812897663e+01,3.764630608827467029e+01
1.343588987046047656e+01,-2.979899428840443321e+01,3.751175107471137693e+01
1.336071947622350287e+01,-2.977925088156166922e+01,3.762049064641687579e+01
1.334222537578179590e+01,-2.979258972783433634e+01,3.784618123065956752e+01
1.329813489603180088e+01,-2.994023414858981269e+01,3.764408349282610544e+01
1.328957146082459850e+01,-2.992181430908726014e+01,3.765420939748639029e+01
1.316774977020134330e+01,-2.999449712587367856e+01,3.765927646096881887e+01
1.314619592933037850e+01,-3.005198477313839334e+01,3.766116362253933403e+01
1.258484656831818072e+01,-3.019103260566031466e+01,3.749700448414739640e+01
1.310473150851026247e+01,-3.006602805108337151e+01,3.766584023469573594e+01
1.279907285187915811e+01,-3.010617303145491519e+01,3.761518183074258559e+01
1.275779423317767680e+01,-2.994369607626041585e+01,3.763245928037154187e+01
