ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.200005838846304584e+01,1.200003851349418085e+02,0.000000000000000000e+00,2.035403906877645414e-02,3.999948213801469699e+00,0.000000000000000000e+00
3.200005840639115462e+01,1.200003893680036384e+02,0.000000000000000000e+00,1.931049031131544524e-02,3.999953387848903308e+00,0.000000000000000000e+00
3.200005842340009821e+01,1.200003936010707122e+02,0.000000000000000000e+00,1.832044336454841799e-02,3.999958044949335267e+00,0.000000000000000000e+00
3.200005843953699269e+01,1.200003978341424613e+02,0.000000000000000000e+00,1.738115535380738153e-02,3.999962236751560596e+00,0.000000000000000000e+00
3.200005845484654543e+01,1.200004020672184595e+02,0.000000000000000000e+00,1.649002400640555560e-02,3.999966009744114093e+00,0.000000000000000000e+00
3.200005846937117582e+01,1.200004063002982662e+02,0.000000000000000000e+00,1.564458044672609530e-02,3.999969405770827713e+00,0.000000000000000000e+00
3.200005848315113610e+01,1.200004105333814977e+02,0.000000000000000000e+00,1.484248236015420566e-02,3.999972462494882031e+00,0.000000000000000000e+00
3.200005849622458953e+01,1.200004147664678271e+02,0.000000000000000000e+00,1.408150750702270165e-02,3.999975213816494790e+00,0.000000000000000000e+00
3.200005850862777379e+01,1.200004189995569277e+02,0.000000000000000000e+00,1.335954756869702116e-02,3.999977690248877060e+00,0.000000000000000000e+00
3.200005852039504362e+01,1.200004232326485294e+02,0.000000000000000000e+00,1.267460230882776553e-02,3.999979919256632321e+00,0.000000000000000000e+00
3.200005853155899871e+01,1.200004274657423906e+02,0.000000000000000000e+00,1.202477403366393992e-02,3.999981925560342155e+00,0.000000000000000000e+00
3.200005854215058321e+01,1.200004316988382840e+02,0.000000000000000000e+00,1.140826233613295888e-02,3.999983731410722942e+00,0.000000000000000000e+00
3.200005855219913542e+01,1.200004359319359821e+02,0.000000000000000000e+00,1.082335910918764965e-02,3.999985356835394246e+00,0.000000000000000000e+00
3.200005856173248731e+01,1.200004401650353145e+02,0.000000000000000000e+00,1.026844381462535885e-02,3.999986819860986476e+00,0.000000000000000000e+00
3.200005857077707105e+01,1.200004443981361533e+02,0.000000000000000000e+00,9.741978994323410163e-03,3.999988136713064968e+00,0.000000000000000000e+00
3.200005857935793330e+01,1.200004486312383136e+02,0.000000000000000000e+00,9.242506011483540840e-03,3.999989321996073599e+00,0.000000000000000000e+00
3.200005858749886301e+01,1.200004528643416535e+02,0.000000000000000000e+00,8.768641010115148932e-03,3.999990388855305667e+00,0.000000000000000000e+00
3.200005859522239149e+01,1.200004570974460734e+02,0.000000000000000000e+00,8.319071081560833539e-03,3.999991349122685502e+00,0.000000000000000000e+00
3.200005860254994872e+01,1.200004613305514880e+02,0.000000000000000000e+00,7.892550627503566382e-03,3.999992213447992828e+00,0.000000000000000000e+00
3.200005860950180647e+01,1.200004655636577695e+02,0.000000000000000000e+00,7.487897909359601811e-03,3.999992991416970067e+00,0.000000000000000000e+00
3.200005861609724889e+01,1.200004697967648184e+02,0.000000000000000000e+00,7.103991774527015912e-03,3.999993691657631967e+00,0.000000000000000000e+00
3.200005862235453691e+01,1.200004740298725920e+02,0.000000000000000000e+00,6.739768550427220443e-03,3.999994321935953501e+00,0.000000000000000000e+00
3.200005862829101488e+01,1.200004782629809768e+02,0.000000000000000000e+00,6.394219097750872965e-03,3.999994889241999196e+00,0.000000000000000000e+00
3.200005863392313188e+01,1.200004824960899867e+02,0.000000000000000000e+00,6.066386014743376659e-03,3.999995399867442458e+00,0.000000000000000000e+00
3.200005863926647720e+01,1.200004867291994657e+02,0.000000000000000000e+00,5.755360984793522067e-03,3.999995859475346638e+00,0.000000000000000000e+00
3.200005864433587988e+01,1.200004909623094136e+02,0.000000000000000000e+00,5.460282259986449366e-03,3.999996273162966798e+00,0.000000000000000000e+00
3.200005864914537312e+01,1.200004951954197878e+02,0.000000000000000000e+00,5.180332273649564979e-03,3.999996645518283156e+00,0.000000000000000000e+00
3.200005865370827962e+01,1.200004994285305315e+02,0.000000000000000000e+00,4.914735375289581466e-03,3.999996980670882163e+00,0.000000000000000000e+00
3.200005865803723992e+01,1.200005036616416305e+02,0.000000000000000000e+00,4.662755681635990038e-03,3.999997282337756310e+00,0.000000000000000000e+00
3.200005866214426220e+01,1.200005078947530137e+02,0.000000000000000000e+00,4.423695037851147621e-03,3.999997553864526267e+00,0.000000000000000000e+00
3.200005866604070803e+01,1.200005121278646953e+02,0.000000000000000000e+00,4.196891083258796895e-03,3.999997798262546311e+00,0.000000000000000000e+00
3.200005866973738478e+01,1.200005163609766186e+02,0.000000000000000000e+00,3.981715416225677442e-03,3.999998018242299835e+00,0.000000000000000000e+00
3.200005867324453135e+01,1.200005205940887407e+02,0.000000000000000000e+00,3.777571853128922508e-03,3.999998216243461968e+00,0.000000000000000000e+00
3.200005867657186798e+01,1.200005248272010761e+02,0.000000000000000000e+00,3.583894776576928860e-03,3.999998394461954376e+00,0.000000000000000000e+00
3.200005867972861040e+01,1.200005290603136245e+02,0.000000000000000000e+00,3.400147568306900302e-03,3.999998554874300893e+00,0.000000000000000000e+00
3.200005868272350540e+01,1.200005332934262867e+02,0.000000000000000000e+00,3.225821122422695489e-03,3.999998699259546875e+00,0.000000000000000000e+00
3.200005868556485211e+01,1.200005375265391194e+02,0.000000000000000000e+00,3.060432434861105975e-03,3.999998829218990526e+00,0.000000000000000000e+00
3.200005868826052335e+01,1.200005417596520658e+02,0.000000000000000000e+00,2.903523265164574194e-03,3.999998946193940252e+00,0.000000000000000000e+00
3.200005869081798693e+01,1.200005459927651401e+02,0.000000000000000000e+00,2.754658866867344073e-03,3.999999051481701429e+00,0.000000000000000000e+00
3.200005869324431984e+01,1.200005502258783423e+02,0.000000000000000000e+00,2.613426782969780881e-03,3.999999146249963111e+00,0.000000000000000000e+00
3.200005869554625804e+01,1.200005544589916155e+02,0.000000000000000000e+00,2.479435703167306385e-03,3.999999231549748124e+00,0.000000000000000000e+00
3.200005869773018219e+01,1.200005586921049598e+02,0.000000000000000000e+00,2.352314379661975350e-03,3.999999308327070402e+00,0.000000000000000000e+00
3.200005869980213902e+01,1.200005629252184178e+02,0.000000000000000000e+00,2.231710598568444840e-03,3.999999377433424819e+00,0.000000000000000000e+00
3.200005870176785550e+01,1.200005671583319184e+02,0.000000000000000000e+00,2.117290204047741781e-03,3.999999439635232523e+00,0.000000000000000000e+00
3.200005870363278859e+01,1.200005713914455043e+02,0.000000000000000000e+00,2.008736172472667773e-03,3.999999495622339474e+00,0.000000000000000000e+00
3.200005870540211106e+01,1.200005756245591328e+02,0.000000000000000000e+00,1.905747734063646193e-03,3.999999546015668983e+00,0.000000000000000000e+00
3.200005870708071853e+01,1.200005798576728182e+02,0.000000000000000000e+00,1.808039539553674526e-03,3.999999591374104657e+00,0.000000000000000000e+00
3.200005870867327218e+01,1.200005840907865462e+02,0.000000000000000000e+00,1.715340869584002772e-03,3.999999632200693434e+00,0.000000000000000000e+00
3.200005871018416315e+01,1.200005883239003168e+02,0.000000000000000000e+00,1.627394884622711561e-03,3.999999668948220233e+00,0.000000000000000000e+00
3.200005871161759075e+01,1.200005925570141159e+02,0.000000000000000000e+00,1.543957913351118143e-03,3.999999702024231940e+00,0.000000000000000000e+00
3.200005871297753401e+01,1.200005967901279575e+02,0.000000000000000000e+00,1.464798777521518968e-03,3.999999731795556457e+00,0.000000000000000000e+00
3.200005871426774462e+01,1.200006010232418419e+02,0.000000000000000000e+00,1.389698151448750868e-03,3.999999758592371446e+00,0.000000000000000000e+00
3.200005871549181080e+01,1.200006052563557262e+02,0.000000000000000000e+00,1.318447954316682037e-03,3.999999782711865848e+00,0.000000000000000000e+00
3.200005871665311474e+01,1.200006094894696389e+02,0.000000000000000000e+00,1.250850773658365852e-03,3.999999804421535909e+00,0.000000000000000000e+00
3.200005871775488231e+01,1.200006137225835943e+02,0.000000000000000000e+00,1.186719318389898355e-03,3.999999823962151257e+00,0.000000000000000000e+00
3.200005871880016173e+01,1.200006179556975638e+02,0.000000000000000000e+00,1.125875899881030075e-03,3.999999841550426982e+00,0.000000000000000000e+00
3.200005871979184491e+01,1.200006221888115476e+02,0.000000000000000000e+00,1.068151939642389544e-03,3.999999857381424384e+00,0.000000000000000000e+00
3.200005872073269586e+01,1.200006264219255314e+02,0.000000000000000000e+00,1.013387502236705057e-03,3.999999871630716797e+00,0.000000000000000000e+00
3.200005872162529386e+01,1.200006306550395436e+02,0.000000000000000000e+00,9.614308521617291907e-04,3.999999884456335586e+00,0.000000000000000000e+00
3.200005872247214000e+01,1.200006348881535700e+02,0.000000000000000000e+00,9.121380334268105279e-04,3.999999896000522526e+00,0.000000000000000000e+00
3.200005872327555778e+01,1.200006391212675965e+02,0.000000000000000000e+00,8.653724707040417108e-04,3.999999906391307647e+00,0.000000000000000000e+00
3.200005872403779250e+01,1.200006433543816655e+02,0.000000000000000000e+00,8.210045909091398314e-04,3.999999915743929435e+00,0.000000000000000000e+00
3.200005872476094027e+01,1.200006475874957061e+02,0.000000000000000000e+00,7.789114642093325101e-04,3.999999924162113363e+00,0.000000000000000000e+00
3.200005872544701901e+01,1.200006518206097752e+02,0.000000000000000000e+00,7.389764634102134353e-04,3.999999931739220305e+00,0.000000000000000000e+00
3.200005872609791879e+01,1.200006560537238585e+02,0.000000000000000000e+00,7.010889408245241832e-04,3.999999938559284374e+00,0.000000000000000000e+00
3.200005872671545148e+01,1.200006602868379275e+02,0.000000000000000000e+00,6.651439217018346312e-04,3.999999944697942844e+00,0.000000000000000000e+00
3.200005872730131529e+01,1.200006645199520108e+02,0.000000000000000000e+00,6.310418133753619005e-04,3.999999950223276368e+00,0.000000000000000000e+00
3.200005872785714445e+01,1.200006687530660940e+02,0.000000000000000000e+00,5.986881293168097541e-04,3.999999955196563040e+00,0.000000000000000000e+00
3.200005872838447374e+01,1.200006729861801915e+02,0.000000000000000000e+00,5.679932273451701770e-04,3.999999959672959182e+00,0.000000000000000000e+00
3.200005872888477398e+01,1.200006772192943032e+02,0.000000000000000000e+00,5.388720612647424383e-04,3.999999963702110417e+00,0.000000000000000000e+00
3.200005872935941653e+01,1.200006814524084149e+02,0.000000000000000000e+00,5.112439452120621413e-04,3.999999967328701000e+00,0.000000000000000000e+00
3.200005872980973010e+01,1.200006856855225124e+02,0.000000000000000000e+00,4.850323301131132642e-04,3.999999970592952536e+00,0.000000000000000000e+00
3.200005873023695102e+01,1.200006899186366240e+02,0.000000000000000000e+00,4.601645915838056995e-04,3.999999973531066289e+00,0.000000000000000000e+00
3.200005873064227302e+01,1.200006941517507357e+02,0.000000000000000000e+00,4.365718287123929436e-04,3.999999976175627303e+00,0.000000000000000000e+00
