ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
3.200002367406676029e+01,1.200000204239733250e+02,0.000000000000000000e+00
3.200002380254671408e+01,1.200000206554051374e+02,0.000000000000000000e+00
3.200002393091828168e+01,1.200000208881813109e+02,0.000000000000000000e+00
3.200002405917888382e+01,1.200000211223008222e+02,0.000000000000000000e+00
3.200002418732593412e+01,1.200000213577626340e+02,0.000000000000000000e+00
3.200002431535691727e+01,1.200000215945656095e+02,0.000000000000000000e+00
3.200002444326932505e+01,1.200000218327087254e+02,0.000000000000000000e+00
3.200002457106067055e+01,1.200000220721909017e+02,0.000000000000000000e+00
3.200002469872851663e+01,1.200000223130110015e+02,0.000000000000000000e+00
3.200002482627044742e+01,1.200000225551679875e+02,0.000000000000000000e+00
3.200002495368407551e+01,1.200000227986606944e+02,0.000000000000000000e+00
3.200002508096702059e+01,1.200000230434880422e+02,0.000000000000000000e+00
3.200002520811698048e+01,1.200000232896488654e+02,0.000000000000000000e+00
3.200002533513163172e+01,1.200000235371420843e+02,0.000000000000000000e+00
3.200002546200870768e+01,1.200000237859665191e+02,0.000000000000000000e+00
3.200002558874595593e+01,1.200000240361210331e+02,0.000000000000000000e+00
3.200002571534115958e+01,1.200000242876045178e+02,0.000000000000000000e+00
3.200002584179213017e+01,1.200000245404157937e+02,0.000000000000000000e+00
3.200002596809670052e+01,1.200000247945536671e+02,0.000000000000000000e+00
3.200002609425273903e+01,1.200000250500170154e+02,0.000000000000000000e+00
3.200002622025812116e+01,1.200000253068046447e+02,0.000000000000000000e+00
3.200002634611076502e+01,1.200000255649153758e+02,0.000000000000000000e+00
3.200002647180863136e+01,1.200000258243480289e+02,0.000000000000000000e+00
3.200002659734967381e+01,1.200000260851014389e+02,0.000000000000000000e+00
3.200002672273188864e+01,1.200000263471743551e+02,0.000000000000000000e+00
3.200002684795330055e+01,1.200000266105656550e+02,0.000000000000000000e+00
3.200002697301195553e+01,1.200000268752741164e+02,0.000000000000000000e+00
3.200002709790592803e+01,1.200000271412985029e+02,0.000000000000000000e+00
3.200002722263331378e+01,1.200000274086376635e+02,0.000000000000000000e+00
3.200002734719222985e+01,1.200000276772903334e+02,0.000000000000000000e+00
3.200002747158083594e+01,1.200000279472553331e+02,0.000000000000000000e+00
3.200002759579730593e+01,1.200000282185314404e+02,0.000000000000000000e+00
3.200002771983982086e+01,1.200000284911174333e+02,0.000000000000000000e+00
3.200002784370661857e+01,1.200000287650121038e+02,0.000000000000000000e+00
3.200002796739593691e+01,1.200000290402142298e+02,0.000000000000000000e+00
3.200002809090606348e+01,1.200000293167225607e+02,0.000000000000000000e+00
3.200002821423527166e+01,1.200000295945359028e+02,0.000000000000000000e+00
3.200002833738189167e+01,1.200000298736529771e+02,0.000000000000000000e+00
3.200002846034425374e+01,1.200000301540726184e+02,0.000000000000000000e+00
3.200002858312073784e+01,1.200000304357935477e+02,0.000000000000000000e+00
3.200002870570971680e+01,1.200000307188145712e+02,0.000000000000000000e+00
3.200002882810961324e+01,1.200000310031344100e+02,0.000000000000000000e+00
3.200002895031886396e+01,1.200000312887518561e+02,0.000000000000000000e+00
3.200002907233591287e+01,1.200000315756656732e+02,0.000000000000000000e+00
3.200002919415925362e+01,1.200000318638746108e+02,0.000000000000000000e+00
3.200002931578737275e+01,1.200000321533774610e+02,0.000000000000000000e+00
3.200002943721880655e+01,1.200000324441729731e+02,0.000000000000000000e+00
3.200002955845208419e+01,1.200000327362598824e+02,0.000000000000000000e+00
3.200002967948579169e+01,1.200000330296369810e+02,0.000000000000000000e+00
3.200002980031850086e+01,1.200000333243030184e+02,0.000000000000000000e+00
