ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
1.399302770810650687e+00,1.179343781770880062e+00,0.000000000000000000e+00
1.401517053113932709e+00,1.192203820590608254e+00,0.000000000000000000e+00
1.403671689163808800e+00,1.205075013864292721e+00,0.000000000000000000e+00
1.405767099306861834e+00,1.217956839344636721e+00,0.000000000000000000e+00
1.407803704648723064e+00,1.230848784041864707e+00,0.000000000000000000e+00
1.409781926988381118e+00,1.243750344055000401e+00,0.000000000000000000e+00
1.411702188751864595e+00,1.256661024410799632e+00,0.000000000000000000e+00
1.413564912925477479e+00,1.269580338909670258e+00,0.000000000000000000e+00
1.415370522988764979e+00,1.282507809977980306e+00,0.000000000000000000e+00
1.417119442847358135e+00,1.295442968526210104e+00,0.000000000000000000e+00
1.418812096765844410e+00,1.308385353812443697e+00,0.000000000000000000e+00
1.420448909300794815e+00,1.321334513310761904e+00,0.000000000000000000e+00
1.422030305234062153e+00,1.334290002584118007e+00,0.000000000000000000e+00
1.423556709506465179e+00,1.347251385161333470e+00,0.000000000000000000e+00
1.425028547151951042e+00,1.360218232417874207e+00,0.000000000000000000e+00
1.426446243232329270e+00,1.373190123460105605e+00,0.000000000000000000e+00
1.427810222772656568e+00,1.386166645012749887e+00,0.000000000000000000e+00
1.429120910697340152e+00,1.399147391309296662e+00,0.000000000000000000e+00
1.430378731767034450e+00,1.412131963985141958e+00,0.000000000000000000e+00
1.431584110516377795e+00,1.425119971973249244e+00,0.000000000000000000e+00
1.432737471192628620e+00,1.438111031402149464e+00,0.000000000000000000e+00
1.433839237695242463e+00,1.451104765496112448e+00,0.000000000000000000e+00
1.434889833516430624e+00,1.464100804477338924e+00,0.000000000000000000e+00
1.435889681682737784e+00,1.477098785470032816e+00,0.000000000000000000e+00
1.436839204697663241e+00,1.490098352406238336e+00,0.000000000000000000e+00
1.437738824485357947e+00,1.503099155933319997e+00,0.000000000000000000e+00
1.438588962335413335e+00,1.516100853322995823e+00,0.000000000000000000e+00
1.439390038848764375e+00,1.529103108381821619e+00,0.000000000000000000e+00
1.440142473884719720e+00,1.542105591363054140e+00,0.000000000000000000e+00
1.440846686509129393e+00,1.555107978879813224e+00,0.000000000000000000e+00
1.441503094943700658e+00,1.568109953819478264e+00,0.000000000000000000e+00
1.442112116516468090e+00,1.581111205259258634e+00,0.000000000000000000e+00
1.442674167613420044e+00,1.594111428382883444e+00,0.000000000000000000e+00
1.443189663631284869e+00,1.607110324398362433e+00,0.000000000000000000e+00
1.443659018931473303e+00,1.620107600456774044e+00,0.000000000000000000e+00
