gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.200001715137501890e+01,1.200005228487505775e+02,6.124499592440333373e-01,-4.516914804459927490e-02,4.001691372523807466e+00,8.375858537062598475e-02
3.200000609799915452e+01,1.200003931211615225e+02,9.402279491520273424e-01,-4.790223447814379032e-03,3.977216056826545554e+00,-8.969421332240672118e-02
3.200003546529890741e+01,1.200004509318888779e+02,-3.416864164224285183e+00,1.865981966594379773e-02,3.998091659102831485e+00,9.437197984325190747e-02
3.200008109641326826e+01,1.200005080571962566e+02,-2.469534702337235377e+00,-6.923367063812697897e-02,3.996491336802261429e+00,-9.505396467347748332e-03
3.200007658186549975e+01,1.200003608326816931e+02,-3.032618416055619548e+00,1.006263661214838456e-01,4.057855859411011679e+00,4.596552250219143598e-02
3.200003480601620254e+01,1.200004531540551511e+02,-8.451307173417578866e+00,4.440198389402773282e-03,4.050458440341594191e+00,5.816456294432148511e-02
3.200010976073823343e+01,1.200003756364919099e+02,-8.960224420477660434e-01,3.348538420991010317e-02,3.941215310995380250e+00,5.867391342266051885e-02
3.200001400009372077e+01,1.200004939575707539e+02,-1.371145969850326196e+01,4.781280638840160191e-02,4.095697006093743653e+00,2.857167195891692837e-02
3.200002422799848034e+01,1.200003594966243838e+02,2.710123100197448842e+00,2.147782792773934857e-02,4.026824927515025188e+00,4.474461702433609432e-03
3.200000153241495582e+01,1.200004526454492009e+02,9.401991245000441921e+00,3.584728685417647859e-02,4.005389347552063661e+00,9.258316935256863389e-02
3.200009615701959831e+01,1.200003924838262463e+02,2.061389981364904145e+00,-9.771874619718336208e-02,4.056023395438190349e+00,7.340607563153490889e-02
3.200005529600264254e+01,1.200004758272233545e+02,2.443505523442888627e+00,6.196600199299466538e-02,3.920730066496006749e+00,5.983166479152454698e-02
3.200003399660312908e+01,1.200005124671896510e+02,-2.149245082021906228e+00,-3.551537659472660258e-02,3.919126945132764828e+00,6.530078299335812138e-03
3.199999863580080017e+01,1.200004538153660860e+02,5.543742610681630545e+00,5.372136493508354593e-02,3.960312860556326253e+00,-2.451404146119410057e-02
3.200006742625807021e+01,1.200004426619806139e+02,7.020342976984143668e+00,-2.726197008070106037e-02,4.009140740239812040e+00,-3.092438505462493867e-02
3.200004398769097946e+01,1.200004176875302875e+02,2.756601160058199884e+00,-1.082416145408618968e-01,4.036134308459858211e+00,1.423510719366722667e-02
3.200004741465532732e+01,1.200006065722365918e+02,3.287100060229971810e+00,-2.193705075057712783e-02,3.999766518818257399e+00,1.135095447073786873e-02
3.200008811425576738e+01,1.200004563444359178e+02,1.393074707804556889e+00,3.359081812382525012e-02,4.083708275703235024e+00,-3.081071994863658972e-02
3.200007462424900950e+01,1.200004648909092140e+02,-8.955498490992086502e+00,-7.458940434497155977e-04,3.951656094862562085e+00,4.699709128726509144e-02
3.199997158212554282e+01,1.200005221317326374e+02,8.808609639429516136e+00,-4.491224742500478373e-02,4.052103157260979138e+00,8.148592509721526433e-02
3.200005007859487449e+01,1.200004884510752561e+02,1.103023089193538586e-01,-1.710743295434912978e-02,4.023995800460461680e+00,5.213052085941036196e-02
3.200007806729205839e+01,1.200003712294490157e+02,-6.210330413676159900e+00,1.949622483928267758e-02,3.980326818033137481e+00,-9.224789178212677854e-02
